x =-0.9895335371638112,y =-0.14430307975949902,R =1.0
x =-0.4019870653297889,y =0.6648873449462018,R =0.7769612488162235
x =-0.05978860928406565,y =1.604515046049103,R =1.6056286030082045
x =-0.042202982480222334,y =2.604360406957437,R =2.604702328685129
x =-0.9844642262402032,y =2.9392391141155567,R =3.0997252108362
x =-0.9940912875953493,y =1.9392854553444794,R =2.1792304984520623
x =-0.5119682812211895,y =2.815388991876973,R =2.8615601857306125
x =0.43931857512131445,y =3.1236961714073823,R =3.154437918506522
x =-0.5485200070877505,y =2.9682132607734983,R =3.018470500039248
x =-0.6931265034480353,y =3.957702503368082,R =4.017938956100265
x =0.19056016933890296,y =3.489623595128509,R =3.494822744262732
x =-0.32276857478109877,y =4.347815648494294,R =4.359779864414954
x =-1.2784008287519724,y =4.642378027576463,R =4.815182491856198
x =-0.7366623057837793,y =3.8018309600470825,R =3.8725430922760817
x =0.23767255972803902,y =4.026934424809548,R =4.033942129897736
x =-0.5536080590443452,y =3.415481252150192,R =3.4600569456048396
x =-0.13072543487250188,y =2.5092967862860194,R =2.512699644006014
x =-0.3063226230846853,y =1.5248346856991177,R =1.5552988034858797
x =0.6894851251971933,y =1.433363769765282,R =1.5905726749645643
x =1.2065551439678242,y =0.5774206666979464,R =1.337606048792064
x =2.04410026772263,y =0.03105250723534836,R =2.044336117841029
x =2.477815623613471,y =0.932102444843959,R =2.6473354967414124
x =2.0818219837875054,y =0.013849191532333882,R =2.081868048721399
x =2.980074523137562,y =0.45332885608028045,R =3.0143575128389504
x =2.009807779694771,y =0.6953669658252567,R =2.1267022660642105
x =2.829821464485105,y =1.2677108805798196,R =3.1008031858860514
x =2.3339840356069446,y =2.1361262444026248,R =3.163940076944211
x =3.3010125076638386,y =2.3907945271378512,R =4.075853535978127
x =2.824096256854274,y =1.511845785905606,R =3.203310373401063
x =3.4188344449523256,y =0.7079263324664905,R =3.4913591413934966
x =4.033547412358898,y =1.4966772232439318,R =4.30227235752507
x =4.553968432105887,y =0.6427674140688041,R =4.599106264178471
x =5.269857877030952,y =-0.0554462370759462,R =5.270149554738561
x =6.26408771294288,y =0.0518246041743273,R =6.264302089222692
x =5.369102551130547,y =0.4979205132967405,R =5.392141229800852
x =4.541014727524939,y =1.058518904657371,R =4.662754231901509
x =5.420488907158255,y =0.5825723032845859,R =5.451705281944357
x =4.886602780176445,y =1.4281286901780694,R =5.091015447524972
x =4.02412998049078,y =0.9220252720880788,R =4.128408010632406
x =4.751878082429862,y =0.2361807560904191,R =4.757743862360051
x =3.7765127232679885,y =0.015585161966171213,R =3.7765448820685967
x =4.328746830423199,y =-0.8181039233015244,R =4.405376618544689
x =3.7676610304903217,y =-1.6458615720814573,R =4.1114632377208284
x =4.671961622889639,y =-1.2189652865667617,R =4.828364296074643
x =5.642066188859092,y =-0.9762779752272128,R =5.725908623474592
x =5.205872223823917,y =-0.0764253068048244,R =5.206433178126997
x =4.430723110776587,y =-0.7082036322813623,R =4.486965530193683
x =3.4903289613271093,y =-1.0482901560972766,R =3.6443529617271198
x =4.469156547800432,y =-0.8436036739866821,R =4.548079529593925
x =4.345323500510696,y =0.148699392822515,R =4.347867044139725
x =4.623087418408516,y =-0.811949973967498,R =4.693847040378812
x =3.839375028295607,y =-1.4330738662655738,R =4.098109480488931
x =4.562481181582372,y =-0.7423369474036836,R =4.622477547352058
x =4.422535334516435,y =0.24782221146371652,R =4.429473403638537
x =3.9179531873001796,y =1.1111858988577565,R =4.072479745768658
x =3.021628372803647,y =1.5545839445432965,R =3.398083174962586
x =3.751355171789829,y =0.8708451063591692,R =3.851108518879208
